Content-type:text/html

RunTime	Name	Arrival	BT	Start	USE	PRI	END	STATUS 
0	T2	0	3	0	1	28	1	 
1	T2	0	3	1	1	28	2	 
2	T2	0	3	2	1	28	3	Finish
3	T2	0	3	3	1	28	4	 
4	T2	0	3	4	1	28	5	 
5	T2	0	3	5	1	28	6	Finish
6	T3	0	10	6	1	29	7	 
7	T3	0	10	7	1	29	8	 
8	T3	0	10	8	1	29	9	 
9	T3	0	10	9	1	29	10	 
10	T3	0	10	10	1	29	11	 
11	T3	0	10	11	1	29	12	 
12	T3	0	10	12	1	29	13	 
13	T3	0	10	13	1	29	14	 
14	T3	0	10	14	1	29	15	 
15	T3	0	10	15	1	29	16	Finish
16	T3	0	10	16	1	29	17	 
17	T3	0	10	17	1	29	18	 
18	T3	0	10	18	1	29	19	 
19	T3	0	10	19	1	29	20	 
20	T3	0	10	20	1	29	21	 
21	T3	0	10	21	1	29	22	 
22	T3	0	10	22	1	29	23	 
23	T3	0	10	23	1	29	24	 
24	T3	0	10	24	1	29	25	 
25	T3	0	10	25	1	29	26	Finish
26	T1	0	10	26	1	33	27	 
27	T1	0	10	27	1	33	28	 
28	T1	0	10	28	1	33	29	 
29	T1	0	10	29	1	33	30	 
30	T1	0	10	30	1	33	31	 
31	T1	0	10	31	1	33	32	 
32	T1	0	10	32	1	33	33	 
