Content-type:text/html

RunTime	Name	Arrival	BT	Start	USE	PRI	END	STATUS 
0	T6	0	6	0	1	21	1	 
1	T6	0	6	1	1	22	2	 
2	T6	0	6	2	1	23	3	 
3	T6	0	6	3	1	24	4	 
4	T6	0	6	4	1	25	5	 
5	T6	0	6	5	1	26	6	Finish
6	T5	1	5	6	1	27	7	 
7	T5	1	5	7	1	28	8	 
8	T2	0	3	8	1	29	9	 
9	T5	1	5	9	1	29	10	 
10	T2	0	3	10	1	30	11	 
11	T3	0	10	11	1	30	12	 
12	T5	1	5	12	1	30	13	 
13	T2	0	3	13	1	31	14	Finish
14	T3	0	10	14	1	31	15	 
15	T5	1	5	15	1	31	16	Finish
16	T3	0	10	16	1	32	17	 
17	T3	0	10	17	1	33	18	 
18	T3	0	10	18	1	34	19	 
19	T1	0	10	19	1	34	20	 
20	T3	0	10	20	1	35	21	 
21	T1	0	10	21	1	35	22	 
22	T3	0	10	22	1	36	23	 
23	T1	0	10	23	1	36	24	 
24	T3	0	10	24	1	37	25	 
25	T1	0	10	25	1	37	26	 
26	T6	0	6	26	1	37	27	 
27	T3	0	10	27	1	38	28	 
28	T1	0	10	28	1	38	29	 
29	T6	0	6	29	1	38	30	 
30	T3	0	10	30	1	39	31	Finish
31	T1	0	10	31	1	39	32	 
32	T6	0	6	32	1	39	33	 
33	T1	0	10	33	1	40	34	 
34	T6	0	6	34	1	40	35	 
35	T1	0	10	35	1	41	36	 
36	T6	0	6	36	1	41	37	 
37	T1	0	10	37	1	42	38	 
38	T6	0	6	38	1	42	39	Finish
39	T1	0	10	39	1	43	40	Finish
40	T6	0	6	40	1	43	41	Finish
41	T6	0	6	41	1	44	42	Finish
42	T6	0	6	42	1	45	43	Finish
43	T6	0	6	43	1	46	44	Finish
44	T6	0	6	44	1	47	45	Finish
45	T5	1	5	45	1	47	46	 
46	T6	0	6	46	1	48	47	Finish
47	T5	1	5	47	1	48	48	 
48	T6	0	6	48	1	49	49	Finish
49	T5	1	5	49	1	49	50	 
50	T6	0	6	50	1	50	51	Finish
51	T5	1	5	51	1	50	52	 
