Content-type:text/html

RunTime	Name	Arrival	BT	Start	USE	PRI	END	STATUS 
0	T6	0	6	0	1	20	1	 
1	T6	0	6	1	1	20	2	 
2	T6	0	6	2	1	20	3	 
3	T6	0	6	3	1	20	4	 
4	T6	0	6	4	1	20	5	 
5	T6	0	6	5	1	20	6	Finish
6	T5	1	5	6	1	26	7	 
7	T5	1	5	7	1	26	8	 
8	T5	1	5	8	1	26	9	 
9	T5	1	5	9	1	26	10	 
10	T5	1	5	10	1	26	11	Finish
11	T2	0	3	11	1	28	12	 
12	T2	0	3	12	1	28	13	 
13	T2	0	3	13	1	28	14	Finish
14	T3	0	10	14	1	29	15	 
15	T3	0	10	15	1	29	16	 
16	T3	0	10	16	1	29	17	 
17	T3	0	10	17	1	29	18	 
18	T3	0	10	18	1	29	19	 
19	T3	0	10	19	1	29	20	 
20	T3	0	10	20	1	29	21	 
21	T3	0	10	21	1	29	22	 
22	T3	0	10	22	1	29	23	 
23	T3	0	10	23	1	29	24	Finish
24	T1	0	10	24	1	33	25	 
25	T1	0	10	25	1	33	26	 
26	T1	0	10	26	1	33	27	 
27	T1	0	10	27	1	33	28	 
28	T1	0	10	28	1	33	29	 
29	T1	0	10	29	1	33	30	 
30	T1	0	10	30	1	33	31	 
31	T1	0	10	31	1	33	32	 
32	T1	0	10	32	1	33	33	 
33	T1	0	10	33	1	33	34	Finish
34	T6	0	6	34	1	36	35	 
35	T6	0	6	35	1	36	36	 
36	T6	0	6	36	1	36	37	 
37	T6	0	6	37	1	36	38	 
38	T6	0	6	38	1	36	39	 
39	T6	0	6	39	1	36	40	Finish
40	T6	0	6	40	1	36	41	Finish
41	T6	0	6	41	1	36	42	Finish
42	T6	0	6	42	1	36	43	Finish
43	T6	0	6	43	1	36	44	Finish
44	T6	0	6	44	1	36	45	Finish
45	T6	0	6	45	1	36	46	Finish
46	T6	0	6	46	1	36	47	Finish
47	T6	0	6	47	1	36	48	Finish
48	T6	0	6	48	1	36	49	Finish
49	T6	0	6	49	1	36	50	Finish
50	T6	0	6	50	1	36	51	Finish
51	T6	0	6	51	1	36	52	Finish
52	T6	0	6	52	1	36	53	Finish
53	T6	0	6	53	1	36	54	Finish
54	T6	0	6	54	1	36	55	Finish
55	T6	0	6	55	1	36	56	Finish
56	T5	1	5	56	1	46	57	 
57	T5	1	5	57	1	46	58	 
58	T5	1	5	58	1	46	59	 
59	T5	1	5	59	1	46	60	 
60	T5	1	5	60	1	46	61	Finish
61	T5	1	5	61	1	46	62	Finish
62	T5	1	5	62	1	46	63	Finish
63	T5	1	5	63	1	46	64	Finish
64	T5	1	5	64	1	46	65	Finish
65	T5	1	5	65	1	46	66	Finish
66	T5	1	5	66	1	46	67	Finish
67	T5	1	5	67	1	46	68	Finish
68	T5	1	5	68	1	46	69	Finish
69	T5	1	5	69	1	46	70	Finish
