Content-type:text/html

RunTime	Name	Arrival	BT	Start	USE	PRI	END	STATUS 
0	T1	0	7	0	1	0	1	 
1	T1	0	7	1	1	0	2	 
2	T1	0	7	2	1	0	3	 
3	T1	0	7	3	1	0	4	requeue
4	T2	1	5	4	1	1	5	 
5	T2	1	5	5	1	1	6	 
6	T2	1	5	6	1	1	7	 
7	T2	1	5	7	1	1	8	requeue
8	T3	2	3	8	1	2	9	 
9	T3	2	3	9	1	2	10	 
10	T3	2	3	10	1	2	11	Finish
11	T4	3	1	11	1	3	12	Finish
12	T5	4	2	12	1	4	13	 
13	T5	4	2	13	1	4	14	Finish
14	T6	5	1	14	1	5	15	Finish
15	T1	0	7	15	1	6	16	 
16	T1	0	7	16	1	6	17	 
17	T1	0	7	17	1	6	18	 
18	T1	0	7	18	1	6	19	requeue
19	T2	1	5	19	1	6	20	 
20	T2	1	5	20	1	6	21	 
21	T2	1	5	21	1	6	22	 
22	T2	1	5	22	1	6	23	requeue
23	T3	2	3	23	1	6	24	 
24	T3	2	3	24	1	6	25	 
25	T3	2	3	25	1	6	26	Finish
26	T3	2	3	26	1	6	27	Finish
27	T4	3	1	27	1	6	28	Finish
28	T4	3	1	28	1	6	29	Finish
29	T4	3	1	29	1	6	30	Finish
30	T4	3	1	30	1	6	31	Finish
31	T5	4	2	31	1	6	32	 
32	T5	4	2	32	1	6	33	Finish
