Content-type:text/html

RunTime	Name	Arrival	BT	Start	USE	PRI	END	STATUS 
0	T2	0	3	0	1	3	1	 
1	T2	0	3	1	1	3	2	 
2	T2	0	3	2	1	3	3	Finish
3	T6	0	6	3	1	6	4	 
4	T6	0	6	4	1	6	5	 
5	T6	0	6	5	1	6	6	 
6	T6	0	6	6	1	6	7	 
7	T6	0	6	7	1	6	8	 
8	T6	0	6	8	1	6	9	Finish
9	T5	1	5	9	1	6	10	 
10	T5	1	5	10	1	6	11	 
11	T5	1	5	11	1	6	12	 
12	T5	1	5	12	1	6	13	 
13	T5	1	5	13	1	6	14	Finish
14	T1	0	10	14	1	10	15	 
15	T1	0	10	15	1	10	16	 
16	T1	0	10	16	1	10	17	 
17	T1	0	10	17	1	10	18	 
18	T1	0	10	18	1	10	19	 
19	T1	0	10	19	1	10	20	 
20	T1	0	10	20	1	10	21	 
21	T1	0	10	21	1	10	22	 
22	T1	0	10	22	1	10	23	 
23	T1	0	10	23	1	10	24	Finish
24	T3	0	10	24	1	10	25	 
25	T3	0	10	25	1	10	26	 
26	T3	0	10	26	1	10	27	 
27	T3	0	10	27	1	10	28	 
28	T3	0	10	28	1	10	29	 
29	T3	0	10	29	1	10	30	 
30	T3	0	10	30	1	10	31	 
31	T3	0	10	31	1	10	32	 
32	T3	0	10	32	1	10	33	 
33	T3	0	10	33	1	10	34	Finish
34	T4	1	10	34	1	11	35	 
35	T4	1	10	35	1	11	36	 
36	T4	1	10	36	1	11	37	 
37	T4	1	10	37	1	11	38	 
38	T4	1	10	38	1	11	39	 
39	T4	1	10	39	1	11	40	 
40	T4	1	10	40	1	11	41	 
41	T4	1	10	41	1	11	42	 
42	T4	1	10	42	1	11	43	 
43	T4	1	10	43	1	11	44	Finish
44	T6	0	6	44	1	22	45	 
45	T6	0	6	45	1	22	46	 
46	T6	0	6	46	1	22	47	 
47	T6	0	6	47	1	22	48	 
48	T6	0	6	48	1	22	49	 
49	T6	0	6	49	1	22	50	Finish
50	T6	0	6	50	1	22	51	Finish
51	T6	0	6	51	1	22	52	Finish
52	T6	0	6	52	1	22	53	Finish
53	T6	0	6	53	1	22	54	Finish
54	T6	0	6	54	1	22	55	Finish
55	T6	0	6	55	1	22	56	Finish
56	T6	0	6	56	1	22	57	Finish
57	T6	0	6	57	1	22	58	Finish
58	T6	0	6	58	1	22	59	Finish
59	T6	0	6	59	1	22	60	Finish
60	T6	0	6	60	1	22	61	Finish
61	T6	0	6	61	1	22	62	Finish
62	T6	0	6	62	1	22	63	Finish
63	T6	0	6	63	1	22	64	Finish
64	T6	0	6	64	1	22	65	Finish
65	T6	0	6	65	1	22	66	Finish
66	T5	1	5	66	1	26	67	 
67	T5	1	5	67	1	26	68	 
68	T5	1	5	68	1	26	69	 
69	T5	1	5	69	1	26	70	 
70	T5	1	5	70	1	26	71	Finish
71	T5	1	5	71	1	26	72	Finish
72	T5	1	5	72	1	26	73	Finish
73	T5	1	5	73	1	26	74	Finish
74	T5	1	5	74	1	26	75	Finish
75	T5	1	5	75	1	26	76	Finish
76	T5	1	5	76	1	26	77	Finish
77	T5	1	5	77	1	26	78	Finish
78	T5	1	5	78	1	26	79	Finish
79	T5	1	5	79	1	26	80	Finish
80	T5	1	5	80	1	26	81	Finish
81	T5	1	5	81	1	26	82	Finish
82	T5	1	5	82	1	26	83	Finish
83	T5	1	5	83	1	26	84	Finish
84	T5	1	5	84	1	26	85	Finish
85	T5	1	5	85	1	26	86	Finish
86	T5	1	5	86	1	26	87	Finish
87	T5	1	5	87	1	26	88	Finish
88	T5	1	5	88	1	26	89	Finish
89	T5	1	5	89	1	26	90	Finish
90	T5	1	5	90	1	26	91	Finish
91	T2	0	3	91	1	36	92	 
92	T2	0	3	92	1	36	93	 
93	T2	0	3	93	1	36	94	Finish
94	T2	0	3	94	1	36	95	Finish
95	T2	0	3	95	1	36	96	Finish
96	T2	0	3	96	1	36	97	Finish
97	T2	0	3	97	1	36	98	Finish
98	T2	0	3	98	1	36	99	Finish
99	T2	0	3	99	1	36	100	Finish
100	T2	0	3	100	1	36	101	Finish
101	T2	0	3	101	1	36	102	Finish
102	T2	0	3	102	1	36	103	Finish
103	T2	0	3	103	1	36	104	Finish
104	T2	0	3	104	1	36	105	Finish
